transactionId,transactionDate,amount,gatewayStatus
TRX-019514,2026-09-16,1757.62,APPROVED
TRX-038600,2026-09-18,368.00,APPROVED
TRX-005106,2026-09-01,1616.98,APPROVED
TRX-031371,2026-09-03,1109.43,APPROVED
TRX-021519,2026-09-02,534.27,APPROVED
TRX-032484,2026-09-12,1307.72,APPROVED
TRX-045015,2026-09-11,1619.95,CANCELLED
TRX-003872,2026-09-06,531.76,APPROVED
TRX-036713,2026-08-19,466.29,APPROVED
TRX-015293,2026-09-05,667.69,APPROVED
TRX-000756,2026-08-30,1571.48,APPROVED
TRX-022722,2026-09-06,1392.26,APPROVED
TRX-021829,2026-08-30,816.57,APPROVED
TRX-037012,2026-08-26,667.96,APPROVED
TRX-039476,2026-09-09,819.08,APPROVED
TRX-022988,2026-08-26,1352.04,APPROVED
TRX-027465,2026-09-02,338.45,APPROVED
TRX-005961,2026-09-17,1914.13,APPROVED
TRX-030723,2026-08-24,339.59,APPROVED
TRX-021079,2026-09-04,1289.07,APPROVED
TRX-032819,2026-09-18,1773.27,APPROVED
TRX-028856,2026-09-02,584.48,APPROVED
TRX-015716,2026-08-24,1778.28,APPROVED
TRX-035884,2026-09-08,359.72,APPROVED
TRX-034104,2026-08-29,1242.32,APPROVED
TRX-006196,2026-09-08,1646.68,APPROVED
TRX-026594,2026-08-26,1914.02,APPROVED
TRX-044941,2026-08-24,1077.53,REFUNDED
TRX-040353,2026-08-20,1272.49,APPROVED
TRX-022436,2026-08-26,1285.88,APPROVED
TRX-022948,2026-08-31,1058.84,APPROVED
TRX-011042,2026-08-30,1347.86,APPROVED
TRX-010464,2026-08-25,1091.12,APPROVED
TRX-040868,2026-09-01,1077.44,APPROVED
TRX-009587,2026-09-16,632.71,APPROVED
TRX-025210,2026-09-13,1719.30,APPROVED
TRX-017378,2026-09-16,30.74,APPROVED
TRX-020381,2026-09-05,152.73,APPROVED
TRX-004125,2026-09-15,396.25,APPROVED
TRX-004693,2026-09-05,579.69,APPROVED
TRX-045922,2026-09-07,308.26,CANCELLED
TRX-028665,2026-08-21,1174.45,APPROVED
TRX-041457,2026-09-04,1404.81,APPROVED
TRX-006575,2026-08-31,444.75,APPROVED
TRX-032229,2026-08-26,1428.57,APPROVED
TRX-003705,2026-09-08,1297.65,APPROVED
TRX-042808,2026-09-17,1367.64,APPROVED
TRX-044665,2026-09-13,1044.45,DECLINED
TRX-043850,2026-08-29,1040.50,CHARGEBACK
TRX-015765,2026-08-28,147.45,APPROVED
TRX-014075,2026-08-30,1689.75,APPROVED
TRX-004876,2026-09-10,1921.08,APPROVED
TRX-017961,2026-08-25,324.13,APPROVED
TRX-036804,2026-09-05,1133.32,APPROVED
TRX-013134,2026-09-17,762.22,APPROVED
TRX-035426,2026-08-26,982.58,APPROVED
TRX-040668,2026-08-28,1601.44,APPROVED
TRX-040177,2026-09-14,1972.41,APPROVED
TRX-033953,2026-09-08,135.49,APPROVED
TRX-019502,2026-08-20,1669.66,APPROVED
TRX-023512,2026-09-12,1212.96,APPROVED
TRX-041875,2026-09-16,488.75,APPROVED
TRX-035260,2026-09-12,1755.80,APPROVED
TRX-032336,2026-08-22,222.88,APPROVED
TRX-032086,2026-09-15,380.38,APPROVED
TRX-011846,2026-09-15,1271.18,APPROVED
TRX-000068,2026-09-17,508.44,APPROVED
TRX-042997,2026-09-13,753.01,APPROVED
TRX-039351,2026-09-13,1892.83,APPROVED
TRX-007573,2026-09-04,1790.09,APPROVED
TRX-010483,2026-09-04,1230.39,APPROVED
TRX-029163,2026-08-21,844.79,APPROVED
TRX-022084,2026-09-03,695.72,APPROVED
TRX-034184,2026-09-07,1828.72,APPROVED
TRX-031400,2026-09-09,1322.00,APPROVED
TRX-017980,2026-08-29,463.40,APPROVED
TRX-024839,2026-08-20,989.87,APPROVED
TRX-028035,2026-08-22,536.55,APPROVED
TRX-027314,2026-09-01,1221.62,APPROVED
TRX-038463,2026-08-26,1353.79,APPROVED
TRX-029591,2026-08-29,1992.03,APPROVED
TRX-030841,2026-09-03,1204.53,APPROVED
TRX-043243,2026-09-17,571.19,REFUNDED
TRX-003640,2026-08-23,821.20,APPROVED
TRX-032480,2026-08-30,1278.40,APPROVED
TRX-007430,2026-08-20,741.90,APPROVED
TRX-035168,2026-09-05,1081.44,APPROVED
TRX-019123,2026-09-10,881.59,APPROVED
TRX-031744,2026-08-21,1853.52,APPROVED
TRX-045382,2026-09-04,330.06,CANCELLED
TRX-017337,2026-08-20,1720.21,APPROVED
TRX-036906,2026-08-26,1880.98,APPROVED
TRX-025564,2026-09-03,334.12,APPROVED
TRX-024391,2026-08-22,1686.03,APPROVED
TRX-024732,2026-09-11,205.56,APPROVED
TRX-016646,2026-09-17,635.18,APPROVED
TRX-005386,2026-09-06,1679.38,APPROVED
TRX-038130,2026-09-04,902.90,APPROVED
TRX-027445,2026-09-04,191.85,APPROVED
TRX-031059,2026-09-13,812.47,APPROVED
TRX-003099,2026-08-31,835.67,APPROVED
TRX-016321,2026-09-17,242.93,APPROVED
TRX-041552,2026-08-31,121.16,APPROVED
TRX-037306,2026-09-18,832.98,APPROVED
TRX-015286,2026-08-23,616.38,APPROVED
TRX-036558,2026-09-11,1320.14,APPROVED
TRX-001850,2026-09-14,1630.50,APPROVED
TRX-038606,2026-09-01,411.98,APPROVED
TRX-037384,2026-08-28,1404.72,APPROVED
TRX-003502,2026-09-17,1799.66,APPROVED
TRX-013964,2026-08-26,876.12,APPROVED
TRX-034955,2026-09-11,1510.15,APPROVED
TRX-031804,2026-09-14,303.32,APPROVED
TRX-010021,2026-08-20,1823.93,APPROVED
TRX-037784,2026-09-10,356.72,APPROVED
TRX-007257,2026-08-28,1463.81,APPROVED
TRX-011479,2026-09-09,571.07,APPROVED
TRX-009332,2026-08-25,753.56,APPROVED
TRX-035787,2026-09-14,1638.71,APPROVED
TRX-018250,2026-09-12,452.50,APPROVED
TRX-033535,2026-09-18,1051.55,APPROVED
TRX-040138,2026-08-25,1696.54,APPROVED
TRX-025557,2026-09-02,282.81,APPROVED
TRX-003147,2026-08-28,1187.51,APPROVED
TRX-036413,2026-09-02,257.29,APPROVED
TRX-021630,2026-08-24,1347.90,APPROVED
TRX-013833,2026-08-29,1905.89,APPROVED
TRX-020141,2026-08-27,383.53,APPROVED
TRX-009892,2026-09-08,878.36,APPROVED
TRX-018823,2026-08-21,672.59,APPROVED
TRX-020920,2026-08-27,123.60,APPROVED
TRX-005840,2026-09-09,1027.20,APPROVED
TRX-005896,2026-08-22,1437.68,APPROVED
TRX-026918,2026-09-10,308.94,APPROVED
TRX-015087,2026-08-27,1147.71,APPROVED
TRX-011990,2026-08-22,336.70,APPROVED
TRX-022634,2026-09-17,747.22,APPROVED
TRX-014643,2026-09-08,1873.19,APPROVED
TRX-001105,2026-08-27,149.65,APPROVED
TRX-016824,2026-09-08,1939.92,APPROVED
TRX-007006,2026-08-28,1613.98,APPROVED
TRX-038849,2026-09-11,203.17,APPROVED
TRX-009338,2026-09-17,797.54,APPROVED
TRX-016887,2026-09-11,411.71,APPROVED
TRX-028931,2026-09-18,1134.23,APPROVED
TRX-009789,2026-09-04,123.37,APPROVED
TRX-037502,2026-09-17,279.66,APPROVED
TRX-027447,2026-08-31,206.51,APPROVED
TRX-013261,2026-09-04,1693.13,APPROVED
TRX-018467,2026-09-06,53.11,APPROVED
TRX-003468,2026-09-15,1550.44,APPROVED
TRX-015753,2026-09-04,59.49,APPROVED
TRX-038853,2026-09-09,232.49,APPROVED
TRX-011897,2026-08-21,1645.01,APPROVED
TRX-010445,2026-08-24,951.85,APPROVED
TRX-018375,2026-09-02,1368.75,APPROVED
TRX-040488,2026-08-26,282.04,APPROVED
TRX-028777,2026-08-30,1995.41,APPROVED
TRX-027336,2026-08-22,1382.88,APPROVED
TRX-020315,2026-09-08,1658.95,APPROVED
TRX-041514,2026-09-03,1832.62,APPROVED
TRX-010438,2026-09-14,900.54,APPROVED
TRX-031179,2026-09-07,1692.07,APPROVED
TRX-013466,2026-09-06,1205.78,APPROVED
TRX-036799,2026-09-02,1096.67,APPROVED
TRX-010301,2026-09-18,1886.33,APPROVED
TRX-005079,2026-09-09,1419.07,APPROVED
TRX-008930,2026-09-03,1786.90,APPROVED
TRX-004286,2026-09-14,1576.38,APPROVED
TRX-003255,2026-09-06,1979.15,APPROVED
TRX-036214,2026-08-22,788.62,APPROVED
TRX-037057,2026-08-30,997.81,APPROVED
TRX-035783,2026-08-20,1609.39,APPROVED
TRX-043277,2026-08-31,820.41,CHARGEBACK
TRX-009354,2026-09-12,914.82,APPROVED
TRX-039197,2026-08-26,764.01,APPROVED
TRX-005595,2026-08-22,1221.35,APPROVED
TRX-018993,2026-08-23,1918.69,APPROVED
TRX-039976,2026-08-29,504.08,APPROVED
TRX-005602,2026-09-04,1272.66,APPROVED
TRX-044741,2026-09-01,1601.53,CHARGEBACK
TRX-006984,2026-09-05,1452.72,APPROVED
TRX-023584,2026-08-27,1740.72,APPROVED
TRX-015150,2026-09-12,1609.50,APPROVED
TRX-011381,2026-09-05,1842.73,APPROVED
TRX-043016,2026-09-06,897.28,REFUNDED
TRX-016580,2026-08-24,151.40,APPROVED
TRX-011748,2026-08-26,552.84,APPROVED
TRX-013769,2026-09-12,1436.77,APPROVED
TRX-001115,2026-09-15,222.95,APPROVED
TRX-034714,2026-09-12,1733.62,APPROVED
TRX-027851,2026-09-12,1177.83,APPROVED
TRX-006831,2026-08-27,331.23,APPROVED
TRX-005730,2026-08-27,220.90,APPROVED
TRX-016423,2026-08-25,990.59,APPROVED
TRX-036749,2026-09-08,730.17,APPROVED
TRX-037136,2026-09-07,1576.88,APPROVED
TRX-036400,2026-09-14,162.00,APPROVED
TRX-005947,2026-09-16,1811.51,APPROVED
TRX-025583,2026-09-17,473.39,APPROVED
TRX-033736,2026-09-11,534.88,APPROVED
TRX-037313,2026-09-04,884.29,APPROVED
TRX-014676,2026-09-10,125.08,APPROVED
TRX-021665,2026-09-11,1604.45,APPROVED
TRX-027275,2026-09-01,935.75,APPROVED
TRX-029459,2026-09-12,1024.47,APPROVED
TRX-036696,2026-08-22,341.68,APPROVED
TRX-005164,2026-08-28,52.12,APPROVED
TRX-031677,2026-09-09,1362.41,APPROVED
TRX-022130,2026-09-16,1032.90,APPROVED
TRX-026978,2026-09-01,748.74,APPROVED
TRX-043324,2026-08-29,1164.92,DECLINED
TRX-043866,2026-08-20,1157.78,DECLINED
TRX-011663,2026-09-06,1919.79,APPROVED
TRX-024114,2026-08-28,1645.62,APPROVED
TRX-033536,2026-08-26,1058.88,APPROVED
TRX-022666,2026-09-12,981.78,APPROVED
TRX-011412,2026-09-02,79.96,APPROVED
TRX-030164,2026-08-20,222.12,APPROVED
TRX-012634,2026-09-18,1077.22,APPROVED
TRX-031535,2026-09-04,321.55,APPROVED
TRX-008969,2026-09-16,82.77,APPROVED
TRX-006451,2026-08-25,1525.83,APPROVED
TRX-007303,2026-09-18,1800.99,APPROVED
TRX-035622,2026-09-11,429.26,APPROVED
TRX-027999,2026-08-29,272.67,APPROVED
TRX-014948,2026-08-31,128.84,APPROVED
TRX-007104,2026-09-13,342.32,APPROVED
TRX-043371,2026-08-26,1509.43,CHARGEBACK
TRX-014510,2026-08-24,898.30,APPROVED
TRX-017185,2026-09-03,606.05,APPROVED
TRX-027152,2026-08-30,34.16,APPROVED
TRX-033581,2026-09-12,1388.73,APPROVED
TRX-045398,2026-08-24,447.34,CANCELLED
TRX-021451,2026-09-13,35.83,APPROVED
TRX-027902,2026-09-09,1551.66,APPROVED
TRX-009185,2026-09-18,1666.05,APPROVED
TRX-043445,2026-09-05,61.85,REFUNDED
TRX-042943,2026-08-20,357.19,APPROVED
TRX-000605,2026-08-29,464.65,APPROVED
TRX-025030,2026-08-19,399.90,APPROVED
TRX-003362,2026-09-01,773.46,APPROVED
TRX-023977,2026-09-10,641.41,APPROVED
TRX-006213,2026-09-14,1771.29,APPROVED
TRX-038743,2026-09-15,1416.19,APPROVED
TRX-045084,2026-09-06,135.72,CANCELLED
TRX-042325,2026-08-30,1797.25,APPROVED
TRX-006819,2026-09-14,243.27,APPROVED
TRX-012804,2026-09-18,333.32,APPROVED
TRX-029034,2026-09-16,1889.22,APPROVED
TRX-029014,2026-08-27,1742.62,APPROVED
TRX-029229,2026-09-12,1328.57,APPROVED
TRX-016022,2026-09-02,41.26,APPROVED
TRX-040183,2026-09-06,26.39,APPROVED
TRX-003299,2026-09-17,311.67,APPROVED
TRX-039547,2026-08-31,1339.51,APPROVED
TRX-013634,2026-09-17,447.22,APPROVED
TRX-010042,2026-09-05,1977.86,APPROVED
TRX-034543,2026-09-11,480.19,APPROVED
TRX-003330,2026-09-18,538.90,APPROVED
TRX-032012,2026-08-24,1827.96,APPROVED
TRX-039275,2026-09-07,1335.75,APPROVED
TRX-036966,2026-08-30,330.78,APPROVED
TRX-041413,2026-08-28,1082.29,APPROVED
TRX-016013,2026-08-31,1965.29,APPROVED
TRX-016295,2026-09-17,52.35,APPROVED
TRX-020133,2026-09-18,324.89,APPROVED
TRX-021842,2026-09-02,911.86,APPROVED
TRX-018862,2026-08-24,958.46,APPROVED
TRX-039868,2026-09-13,1702.44,APPROVED
TRX-044640,2026-08-19,861.20,DECLINED
TRX-008719,2026-08-20,240.27,APPROVED
TRX-003961,2026-09-17,1184.13,APPROVED
TRX-019865,2026-09-03,350.45,APPROVED
TRX-033323,2026-09-14,1487.59,APPROVED
TRX-008164,2026-08-25,152.12,APPROVED
TRX-042178,2026-08-22,729.74,APPROVED
TRX-035698,2026-09-15,986.34,APPROVED
TRX-000082,2026-09-10,611.06,APPROVED
TRX-000267,2026-08-31,1967.11,APPROVED
TRX-032427,2026-09-11,889.91,APPROVED
TRX-027230,2026-08-22,605.90,APPROVED
TRX-004273,2026-08-27,1481.09,APPROVED
TRX-000078,2026-09-05,581.74,APPROVED
TRX-029060,2026-09-03,89.80,APPROVED
TRX-011784,2026-09-14,816.72,APPROVED
TRX-038592,2026-09-17,309.36,APPROVED
TRX-031536,2026-08-28,328.88,APPROVED
TRX-030627,2026-08-27,1625.91,APPROVED
TRX-031410,2026-08-26,1395.30,APPROVED
TRX-042786,2026-09-09,1206.38,APPROVED
TRX-016490,2026-09-04,1481.70,APPROVED
TRX-030214,2026-08-31,588.62,APPROVED
TRX-016929,2026-09-08,719.57,APPROVED
TRX-031507,2026-09-18,116.31,APPROVED
TRX-021985,2026-09-17,1960.05,APPROVED
TRX-017285,2026-09-18,1339.05,APPROVED
TRX-044287,2026-09-17,263.71,REFUNDED
TRX-027676,2026-09-13,1885.08,APPROVED
TRX-023808,2026-09-02,1392.64,APPROVED
TRX-037253,2026-08-26,444.49,APPROVED
TRX-018924,2026-08-27,1412.92,APPROVED
TRX-004161,2026-09-04,660.13,APPROVED
TRX-038627,2026-08-20,565.91,APPROVED
TRX-029246,2026-08-29,1453.18,APPROVED
TRX-021601,2026-09-02,1135.33,APPROVED
TRX-002785,2026-08-25,524.05,APPROVED
TRX-002754,2026-08-23,296.82,APPROVED
TRX-030944,2026-09-01,1959.52,APPROVED
TRX-008360,2026-09-16,1588.80,APPROVED
TRX-010388,2026-09-02,534.04,APPROVED
TRX-004510,2026-09-03,1228.30,APPROVED
TRX-038495,2026-08-25,1588.35,APPROVED
TRX-033513,2026-09-10,890.29,APPROVED
TRX-024036,2026-09-07,1073.88,APPROVED
TRX-025004,2026-08-25,209.32,APPROVED
TRX-029375,2026-08-19,408.75,APPROVED
TRX-042781,2026-08-27,1159.73,APPROVED
TRX-035429,2026-08-27,1004.57,APPROVED
TRX-022347,2026-09-13,633.51,APPROVED
TRX-000996,2026-09-17,1340.68,APPROVED
TRX-042960,2026-08-23,491.80,APPROVED
TRX-034029,2026-08-23,692.57,APPROVED
TRX-003288,2026-08-24,231.04,APPROVED
TRX-030528,2026-09-10,900.24,APPROVED
TRX-022833,2026-08-26,215.89,APPROVED
TRX-043513,2026-08-25,560.29,REFUNDED
TRX-028160,2026-08-26,1452.80,APPROVED
TRX-035497,2026-08-20,1503.01,APPROVED
TRX-023042,2026-08-29,1747.86,APPROVED
TRX-015054,2026-09-01,905.82,APPROVED
TRX-010521,2026-09-02,1508.93,APPROVED
TRX-005889,2026-09-01,1386.37,APPROVED
TRX-026866,2026-09-01,1917.78,APPROVED
TRX-029657,2026-09-07,485.81,APPROVED
TRX-040548,2026-09-16,721.84,APPROVED
TRX-012769,2026-08-22,76.77,APPROVED
TRX-015567,2026-09-16,686.11,APPROVED
TRX-028998,2026-09-02,1625.34,APPROVED
TRX-039662,2026-09-10,192.46,APPROVED
TRX-016891,2026-08-31,441.03,APPROVED
TRX-039397,2026-09-06,240.01,APPROVED
TRX-015401,2026-09-18,1459.33,APPROVED
TRX-036619,2026-09-04,1767.27,APPROVED
TRX-001462,2026-08-26,776.46,APPROVED
TRX-014019,2026-08-25,1279.27,APPROVED
TRX-016679,2026-09-15,877.07,APPROVED
TRX-008925,2026-09-10,1750.25,APPROVED
TRX-040997,2026-08-29,23.01,APPROVED
TRX-044917,2026-08-30,901.61,DECLINED
TRX-011774,2026-09-15,743.42,APPROVED
TRX-017894,2026-09-03,1823.02,APPROVED
TRX-021466,2026-08-31,145.78,APPROVED
TRX-027098,2026-08-31,1628.34,APPROVED
TRX-041237,2026-09-11,1782.21,APPROVED
TRX-028910,2026-08-30,980.30,APPROVED
TRX-045842,2026-08-30,1711.86,CANCELLED
TRX-036706,2026-09-09,414.98,APPROVED
TRX-038620,2026-08-24,514.60,APPROVED
TRX-031456,2026-09-13,1732.48,APPROVED
TRX-043019,2026-09-10,919.27,CHARGEBACK
TRX-041871,2026-09-11,459.43,APPROVED
TRX-028477,2026-08-27,1786.41,APPROVED
TRX-004445,2026-09-15,751.85,APPROVED
TRX-000024,2026-09-14,185.92,APPROVED
TRX-007427,2026-08-27,719.91,APPROVED
TRX-036803,2026-09-11,1125.99,APPROVED
TRX-044460,2026-09-06,1531.80,CHARGEBACK
TRX-032562,2026-08-23,1879.46,APPROVED
TRX-008637,2026-09-02,1629.21,APPROVED
TRX-018428,2026-08-20,1757.24,APPROVED
TRX-039673,2026-09-10,273.09,APPROVED
TRX-008833,2026-08-22,1075.89,APPROVED
TRX-042935,2026-08-24,298.55,APPROVED
TRX-012130,2026-08-24,1362.90,APPROVED
TRX-039059,2026-08-25,1742.47,APPROVED
TRX-044419,2026-09-05,1231.27,REFUNDED
TRX-021356,2026-09-03,1329.48,APPROVED
TRX-019454,2026-09-05,1317.82,APPROVED
TRX-002653,2026-09-09,1546.49,APPROVED
TRX-010701,2026-09-16,838.33,APPROVED
TRX-017684,2026-08-30,283.72,APPROVED
TRX-016560,2026-08-29,1994.80,APPROVED
TRX-023165,2026-09-15,659.45,APPROVED
TRX-031843,2026-08-28,589.19,APPROVED
TRX-021836,2026-08-30,867.88,APPROVED
TRX-008044,2026-08-28,1262.52,APPROVED
TRX-020629,2026-09-06,1970.57,APPROVED
TRX-040184,2026-08-29,43.72,APPROVED
TRX-010913,2026-08-30,402.29,APPROVED
TRX-040395,2026-08-30,1580.35,APPROVED
TRX-005859,2026-09-14,1166.47,APPROVED
TRX-041066,2026-09-03,538.78,APPROVED
TRX-027183,2026-09-10,261.39,APPROVED
TRX-003359,2026-08-28,751.47,APPROVED
TRX-012914,2026-08-26,1139.62,APPROVED
TRX-013738,2026-09-04,1209.54,APPROVED
TRX-018802,2026-09-09,518.66,APPROVED
TRX-007099,2026-09-13,305.67,APPROVED
TRX-041464,2026-08-20,1466.12,APPROVED
TRX-017431,2026-09-03,419.23,APPROVED
TRX-040699,2026-09-18,1818.67,APPROVED
TRX-044714,2026-09-05,1403.62,DECLINED
TRX-009159,2026-09-05,1475.47,APPROVED
TRX-041107,2026-09-01,829.31,APPROVED
TRX-001545,2026-09-02,1384.85,APPROVED
TRX-005674,2026-08-23,1800.42,APPROVED
TRX-023857,2026-08-30,1751.81,APPROVED
TRX-011004,2026-08-25,1069.32,APPROVED
TRX-025482,2026-09-08,1723.06,APPROVED
TRX-000608,2026-08-26,486.64,APPROVED
TRX-021838,2026-08-20,882.54,APPROVED
TRX-004911,2026-09-07,187.63,APPROVED
TRX-039003,2026-08-25,1331.99,APPROVED
TRX-018746,2026-09-10,108.18,APPROVED
TRX-032299,2026-09-09,1941.67,APPROVED
TRX-002135,2026-09-13,1729.55,APPROVED
TRX-039592,2026-08-22,1669.36,APPROVED
TRX-027106,2026-09-12,1686.98,APPROVED
TRX-015510,2026-09-14,268.30,APPROVED
TRX-031387,2026-09-09,1226.71,APPROVED
TRX-012167,2026-08-28,1634.11,APPROVED
TRX-020062,2026-08-23,1794.46,APPROVED
TRX-040206,2026-08-27,204.98,APPROVED
TRX-006758,2026-09-12,1786.14,APPROVED
TRX-024684,2026-08-25,1843.72,APPROVED
TRX-032377,2026-09-04,523.41,APPROVED
TRX-020239,2026-09-12,1101.87,APPROVED
TRX-014558,2026-08-25,1250.14,APPROVED
