idTransactional,dataTransactional,value,statusGateway
TRX-036170,2026-08-28,1234.08,APPROVED
TRX-045906,2026-08-23,313.31,CANCELLED
TRX-034429,2026-08-10,1953.42,APPROVED
TRX-001155,2026-08-22,807.60,APPROVED
TRX-039023,2026-08-23,1510.68,APPROVED
TRX-029305,2026-08-10,63.53,APPROVED
TRX-032191,2026-08-09,1455.13,APPROVED
TRX-039954,2026-08-14,596.02,APPROVED
TRX-021981,2026-08-14,1757.37,APPROVED
TRX-000282,2026-08-27,1016.86,APPROVED
TRX-008525,2026-08-21,753.86,APPROVED
TRX-023033,2026-08-29,42.79,APPROVED
TRX-036828,2026-08-13,1489.83,APPROVED
TRX-028240,2026-08-15,1685.72,APPROVED
TRX-004166,2026-08-27,439.92,APPROVED
TRX-042955,2026-08-31,1246.66,APPROVED
TRX-019240,2026-08-09,1696.42,APPROVED
TRX-044057,2026-08-29,1543.78,DECLINED
TRX-018090,2026-09-01,197.11,APPROVED
TRX-033300,2026-08-29,1627.33,APPROVED
TRX-041230,2026-08-28,971.19,APPROVED
TRX-010533,2026-08-21,902.62,APPROVED
TRX-029245,2026-08-12,684.00,APPROVED
TRX-032018,2026-08-14,1754.38,APPROVED
TRX-040380,2026-08-14,534.81,APPROVED
TRX-034201,2026-08-19,1327.76,APPROVED
TRX-014766,2026-08-17,430.34,APPROVED
TRX-031985,2026-08-29,1654.03,APPROVED
TRX-023893,2026-08-17,216.96,APPROVED
TRX-001811,2026-08-12,579.00,APPROVED
TRX-022138,2026-08-25,985.24,APPROVED
TRX-040074,2026-08-25,606.52,APPROVED
TRX-034038,2026-09-02,143.47,APPROVED
TRX-003856,2026-08-26,1712.99,APPROVED
TRX-003625,2026-08-29,1230.75,APPROVED
TRX-044183,2026-08-24,390.39,REFUNDED
TRX-022613,2026-08-27,890.75,APPROVED
TRX-019079,2026-08-16,1973.96,APPROVED
TRX-028482,2026-08-26,1108.63,APPROVED
TRX-002631,2026-08-28,794.59,APPROVED
TRX-003029,2026-08-31,293.30,APPROVED
TRX-017641,2026-09-07,529.94,APPROVED
TRX-014991,2026-08-17,1697.46,APPROVED
TRX-005940,2026-08-19,339.61,APPROVED
TRX-029349,2026-08-17,730.91,APPROVED
TRX-001394,2026-08-28,1473.35,APPROVED
TRX-007962,2026-08-16,70.66,APPROVED
TRX-037147,2026-08-31,1331.57,APPROVED
TRX-026537,2026-08-24,1365.09,APPROVED
TRX-012398,2026-08-09,760.81,APPROVED
TRX-004214,2026-08-16,168.15,APPROVED
TRX-007499,2026-08-18,1784.30,APPROVED
TRX-028453,2026-09-03,1179.47,APPROVED
TRX-039995,2026-08-13,1552.79,APPROVED
TRX-005720,2026-08-14,1774.17,APPROVED
TRX-035631,2026-08-09,394.91,APPROVED
TRX-029019,2026-09-03,1096.31,APPROVED
TRX-030367,2026-08-12,1320.98,APPROVED
TRX-012827,2026-08-18,1291.74,APPROVED
TRX-040933,2026-08-19,982.49,APPROVED
TRX-027173,2026-08-18,1429.80,APPROVED
TRX-033073,2026-08-21,191.42,APPROVED
TRX-030057,2026-09-01,867.77,APPROVED
TRX-008760,2026-08-22,60.38,APPROVED
TRX-017248,2026-09-02,346.06,APPROVED
TRX-028808,2026-08-22,1619.02,APPROVED
TRX-024337,2026-09-05,469.24,APPROVED
TRX-032678,2026-08-23,1393.57,APPROVED
TRX-013035,2026-09-02,61.74,APPROVED
TRX-010749,2026-08-31,1969.52,APPROVED
TRX-025295,2026-08-27,701.81,APPROVED
TRX-034983,2026-08-18,1952.67,APPROVED
TRX-016488,2026-08-08,1644.10,APPROVED
TRX-017072,2026-09-05,1718.02,APPROVED
TRX-012488,2026-08-13,514.96,APPROVED
TRX-017929,2026-08-20,1763.88,APPROVED
TRX-009783,2026-08-23,849.49,APPROVED
TRX-014699,2026-08-31,1905.37,APPROVED
TRX-017665,2026-08-11,938.99,APPROVED
TRX-023306,2026-09-05,1904.81,APPROVED
TRX-038690,2026-08-31,222.90,APPROVED
TRX-042272,2026-08-17,953.58,APPROVED
TRX-024909,2026-08-09,1177.63,APPROVED
TRX-014782,2026-08-19,723.17,APPROVED
TRX-021382,2026-09-02,670.36,APPROVED
TRX-025992,2026-08-17,936.33,APPROVED
TRX-033214,2026-08-13,1754.33,APPROVED
TRX-027126,2026-08-10,1286.46,APPROVED
TRX-019491,2026-08-09,418.55,APPROVED
TRX-011051,2026-08-27,147.26,APPROVED
TRX-040985,2026-09-06,522.55,APPROVED
TRX-004543,2026-09-04,929.93,APPROVED
TRX-030284,2026-08-21,1002.95,APPROVED
TRX-031629,2026-09-03,922.81,APPROVED
TRX-016954,2026-09-02,1318.15,APPROVED
TRX-031099,2026-09-04,198.06,APPROVED
TRX-011885,2026-08-14,1759.40,APPROVED
TRX-038906,2026-08-19,455.35,APPROVED
TRX-031778,2026-08-08,278.11,APPROVED
TRX-043256,2026-08-25,58.97,DECLINED
TRX-040412,2026-09-01,766.87,APPROVED
TRX-038145,2026-09-04,528.83,APPROVED
TRX-033177,2026-08-30,1962.63,APPROVED
TRX-020666,2026-09-03,169.35,APPROVED
TRX-041946,2026-08-20,443.06,APPROVED
TRX-017964,2026-08-31,18.47,APPROVED
TRX-037799,2026-08-18,1149.28,APPROVED
TRX-031497,2026-08-27,717.19,APPROVED
TRX-010498,2026-08-30,1248.55,APPROVED
TRX-033084,2026-08-11,1333.27,APPROVED
TRX-034066,2026-08-10,326.04,APPROVED
TRX-042437,2026-08-19,1186.68,APPROVED
TRX-015355,2026-08-25,69.63,APPROVED
TRX-002644,2026-08-25,1212.81,APPROVED
TRX-004045,2026-08-11,1102.01,APPROVED
TRX-018091,2026-08-31,206.49,APPROVED
TRX-019977,2026-09-05,1297.64,APPROVED
TRX-033231,2026-08-19,1293.76,APPROVED
TRX-010702,2026-09-01,1111.92,APPROVED
TRX-006439,2026-08-15,200.21,APPROVED
TRX-033480,2026-08-09,121.17,APPROVED
TRX-041305,2026-08-30,536.67,APPROVED
TRX-006742,2026-08-14,419.41,APPROVED
TRX-038908,2026-08-22,1372.12,APPROVED
TRX-042391,2026-08-08,963.46,APPROVED
TRX-002242,2026-08-17,596.48,APPROVED
TRX-036604,2026-08-27,1906.79,APPROVED
TRX-034851,2026-09-01,1446.58,APPROVED
TRX-022728,2026-08-19,1851.97,APPROVED
TRX-011805,2026-08-24,1145.21,APPROVED
TRX-014744,2026-09-03,1377.30,APPROVED
TRX-026394,2026-09-05,555.43,APPROVED
TRX-030207,2026-09-04,1945.72,APPROVED
TRX-037127,2026-08-27,664.05,APPROVED
TRX-015536,2026-08-15,814.32,APPROVED
TRX-042330,2026-09-06,1324.42,APPROVED
TRX-022210,2026-08-17,1666.58,APPROVED
TRX-039231,2026-08-28,213.14,APPROVED
TRX-044786,2026-08-31,1172.20,DECLINED
TRX-000246,2026-08-31,448.87,APPROVED
TRX-040977,2026-08-29,288.32,APPROVED
TRX-017477,2026-08-15,1070.03,APPROVED
TRX-037519,2026-08-26,1131.08,APPROVED
TRX-002179,2026-08-09,1844.96,APPROVED
TRX-037861,2026-08-09,1870.57,APPROVED
TRX-032091,2026-09-06,744.67,APPROVED
TRX-043746,2026-08-21,292.17,DECLINED
TRX-009869,2026-08-13,1355.23,APPROVED
TRX-013932,2026-08-31,1910.94,APPROVED
TRX-023120,2026-08-23,200.40,APPROVED
TRX-022676,2026-08-17,458.09,APPROVED
TRX-041307,2026-08-11,610.15,APPROVED
TRX-042298,2026-08-31,42.27,APPROVED
TRX-019987,2026-08-13,1242.29,APPROVED
TRX-010935,2026-08-27,730.01,APPROVED
TRX-030016,2026-08-26,1804.95,APPROVED
TRX-026915,2026-08-16,331.62,APPROVED
TRX-033561,2026-08-17,1735.96,APPROVED
TRX-020516,2026-08-10,1928.70,APPROVED
TRX-009596,2026-09-06,311.38,APPROVED
TRX-011073,2026-09-01,1636.42,APPROVED
TRX-007835,2026-09-01,883.20,APPROVED
TRX-017200,2026-08-29,753.67,APPROVED
TRX-030716,2026-08-12,1053.71,APPROVED
TRX-007686,2026-08-21,1881.80,APPROVED
TRX-001817,2026-08-17,1680.37,APPROVED
TRX-016018,2026-08-16,506.40,APPROVED
TRX-035070,2026-08-12,839.46,APPROVED
TRX-002144,2026-08-28,464.15,APPROVED
TRX-039638,2026-08-18,491.40,APPROVED
TRX-028069,2026-08-24,1646.13,APPROVED
TRX-000018,2026-08-21,763.28,APPROVED
TRX-014408,2026-08-19,1536.60,APPROVED
TRX-021831,2026-08-15,1095.92,APPROVED
TRX-034603,2026-08-19,50.36,APPROVED
TRX-014505,2026-08-28,734.54,APPROVED
TRX-000514,2026-08-12,15.64,APPROVED
TRX-018057,2026-08-30,849.83,APPROVED
TRX-003293,2026-08-14,1318.26,APPROVED
TRX-026170,2026-08-26,1889.75,APPROVED
TRX-000678,2026-09-03,1604.51,APPROVED
TRX-042046,2026-08-13,173.84,APPROVED
TRX-019471,2026-08-26,1575.75,APPROVED
TRX-026446,2026-09-01,1823.99,APPROVED
TRX-000465,2026-09-04,1467.40,APPROVED
TRX-029634,2026-08-13,725.13,APPROVED
TRX-013405,2026-09-02,1431.93,APPROVED
TRX-028435,2026-08-30,680.13,APPROVED
TRX-005567,2026-08-18,560.94,APPROVED
TRX-035940,2026-08-14,340.03,APPROVED
TRX-001678,2026-08-10,1896.69,APPROVED
TRX-042431,2026-08-08,418.34,APPROVED
TRX-003276,2026-08-29,1243.12,APPROVED
TRX-030113,2026-08-14,204.42,APPROVED
TRX-024775,2026-08-31,679.83,APPROVED
TRX-026871,2026-09-02,1250.67,APPROVED
TRX-028654,2026-08-20,752.74,APPROVED
TRX-013445,2026-08-12,315.86,APPROVED
TRX-035961,2026-08-08,317.53,APPROVED
TRX-043468,2026-08-13,444.26,CHARGEBACK
TRX-001120,2026-08-11,178.55,APPROVED
TRX-024013,2026-08-09,59.88,APPROVED
TRX-020158,2026-08-30,846.43,APPROVED
TRX-021692,2026-08-09,238.57,APPROVED
TRX-018357,2026-08-09,1997.43,APPROVED
TRX-002202,2026-08-28,690.41,APPROVED
TRX-026064,2026-08-11,1919.68,APPROVED
TRX-001216,2026-08-23,1015.82,APPROVED
TRX-013567,2026-08-28,198.30,APPROVED
TRX-003745,2026-08-24,172.00,APPROVED
TRX-032163,2026-08-28,1704.42,APPROVED
TRX-009699,2026-08-14,1068.55,APPROVED
TRX-017703,2026-08-16,1818.94,APPROVED
TRX-007740,2026-09-05,862.02,APPROVED
TRX-039158,2026-08-16,1705.03,APPROVED
TRX-025024,2026-08-30,1139.96,APPROVED
TRX-017578,2026-09-03,106.58,APPROVED
TRX-038196,2026-09-04,1733.20,APPROVED
TRX-031550,2026-08-24,1830.93,APPROVED
TRX-030698,2026-08-31,1761.55,APPROVED
TRX-017756,2026-08-09,1898.13,APPROVED
TRX-032964,2026-08-26,1531.87,APPROVED
TRX-037092,2026-08-31,486.17,APPROVED
TRX-002364,2026-08-19,1580.49,APPROVED
TRX-012185,2026-09-05,1363.15,APPROVED
TRX-018970,2026-08-20,926.10,APPROVED
TRX-029518,2026-08-24,462.13,APPROVED
TRX-005674,2026-08-19,774.61,APPROVED
TRX-034431,2026-08-11,939.69,APPROVED
TRX-028444,2026-08-18,207.20,APPROVED
TRX-000801,2026-09-02,1883.80,APPROVED
TRX-021869,2026-08-29,474.22,APPROVED
TRX-037032,2026-09-02,104.38,APPROVED
TRX-043248,2026-08-10,1326.82,REFUNDED
TRX-003950,2026-08-30,1456.03,APPROVED
TRX-034002,2026-09-04,1587.03,APPROVED
TRX-024991,2026-08-23,1793.00,APPROVED
TRX-040712,2026-08-20,48.18,APPROVED
TRX-005140,2026-08-24,1214.38,APPROVED
TRX-020291,2026-08-31,654.47,APPROVED
TRX-042065,2026-08-15,1545.02,APPROVED
TRX-015877,2026-08-27,606.14,APPROVED
TRX-022199,2026-08-14,906.43,APPROVED
TRX-027257,2026-08-20,694.73,APPROVED
TRX-038287,2026-08-21,1897.98,APPROVED
TRX-023576,2026-09-01,1953.77,APPROVED
TRX-005072,2026-08-21,1149.48,APPROVED
TRX-023357,2026-08-23,343.48,APPROVED
TRX-021164,2026-08-28,1256.10,APPROVED
TRX-008549,2026-08-22,220.48,APPROVED
TRX-014228,2026-08-13,1353.62,APPROVED
TRX-037392,2026-08-18,940.14,APPROVED
TRX-031960,2026-09-03,165.63,APPROVED
TRX-044722,2026-08-08,1354.25,DECLINED
TRX-003628,2026-08-11,568.71,APPROVED
TRX-002299,2026-08-29,1986.89,APPROVED
TRX-022197,2026-08-12,572.80,APPROVED
TRX-034989,2026-08-28,552.76,APPROVED
TRX-022709,2026-08-30,644.25,APPROVED
TRX-001544,2026-09-03,1244.34,APPROVED
TRX-006121,2026-08-31,371.76,APPROVED
TRX-003171,2026-08-21,933.68,APPROVED
TRX-030460,2026-09-01,1106.45,APPROVED
TRX-042774,2026-08-22,669.95,APPROVED
TRX-021174,2026-08-29,706.79,APPROVED
TRX-022870,2026-08-14,1681.89,APPROVED
TRX-038692,2026-08-16,1391.08,APPROVED
TRX-001930,2026-08-12,1217.19,APPROVED
TRX-013679,2026-09-05,261.63,APPROVED
TRX-009166,2026-08-19,368.78,APPROVED
TRX-034419,2026-08-21,511.47,APPROVED
TRX-038807,2026-08-10,1749.15,APPROVED
TRX-021992,2026-08-09,1514.41,APPROVED
TRX-021597,2026-09-06,1365.00,APPROVED
TRX-007529,2026-08-11,551.08,APPROVED
TRX-034321,2026-08-23,714.53,APPROVED
TRX-032410,2026-08-12,289.43,APPROVED
TRX-033875,2026-08-11,1152.19,APPROVED
TRX-045821,2026-08-25,289.83,CANCELLED
TRX-038088,2026-08-13,500.19,APPROVED
TRX-030494,2026-08-15,1504.21,APPROVED
TRX-039574,2026-08-09,1037.04,APPROVED
TRX-029436,2026-08-25,573.60,APPROVED
TRX-023999,2026-08-16,428.40,APPROVED
TRX-002946,2026-08-10,1134.81,APPROVED
TRX-034648,2026-09-02,138.54,APPROVED
TRX-021103,2026-08-28,987.70,APPROVED
TRX-013382,2026-08-10,850.69,APPROVED
TRX-005542,2026-08-16,82.86,APPROVED
TRX-000124,2026-08-26,484.99,APPROVED
TRX-035814,2026-08-27,1418.01,APPROVED
TRX-033047,2026-09-05,705.23,APPROVED
TRX-008338,2026-08-29,457.34,APPROVED
TRX-035294,2026-08-28,1628.49,APPROVED
TRX-007459,2026-08-08,1589.68,APPROVED
TRX-001278,2026-08-11,749.97,APPROVED
TRX-040757,2026-08-13,98.66,APPROVED
TRX-015266,2026-08-26,1485.42,APPROVED
TRX-039176,2026-08-18,775.30,APPROVED
TRX-012070,2026-09-03,1447.48,APPROVED
TRX-021505,2026-08-30,1480.59,APPROVED
TRX-011797,2026-08-16,1125.44,APPROVED
TRX-010969,2026-09-02,803.20,APPROVED
TRX-013692,2026-08-12,141.57,APPROVED
TRX-014038,2026-08-25,837.75,APPROVED
TRX-018309,2026-08-24,1092.81,APPROVED
TRX-023856,2026-08-08,1286.54,APPROVED
TRX-019225,2026-08-24,429.08,APPROVED
TRX-000795,2026-08-09,698.59,APPROVED
TRX-017115,2026-08-26,1665.31,APPROVED
TRX-031553,2026-08-16,1870.32,APPROVED
TRX-015796,2026-08-10,1969.96,APPROVED
TRX-005206,2026-08-14,167.34,APPROVED
TRX-010802,2026-08-10,1324.46,APPROVED
TRX-029384,2026-08-23,1331.99,APPROVED
TRX-036196,2026-09-06,26.87,APPROVED
TRX-033412,2026-08-10,37.67,APPROVED
TRX-042208,2026-08-26,627.82,APPROVED
TRX-045624,2026-08-31,633.99,CANCELLED
TRX-027776,2026-08-15,1230.62,APPROVED
TRX-016212,2026-08-25,195.56,APPROVED
TRX-001992,2026-08-27,1451.13,APPROVED
TRX-010945,2026-08-13,81.46,APPROVED
TRX-018945,2026-08-20,801.68,APPROVED
TRX-022424,2026-08-09,946.80,APPROVED
TRX-007900,2026-08-29,1531.08,APPROVED
TRX-036081,2026-08-13,891.25,APPROVED
TRX-012503,2026-08-27,751.48,APPROVED
TRX-032643,2026-08-24,1208.04,APPROVED
TRX-040437,2026-08-17,1089.48,APPROVED
TRX-000866,2026-08-19,1261.76,APPROVED
TRX-032300,2026-09-06,278.68,APPROVED
TRX-024036,2026-08-30,324.09,APPROVED
TRX-027923,2026-08-15,1409.23,APPROVED
TRX-017189,2026-09-02,385.82,APPROVED
TRX-021707,2026-08-18,73.36,APPROVED
TRX-040203,2026-08-30,942.28,APPROVED
TRX-020552,2026-09-04,232.77,APPROVED
TRX-034327,2026-08-09,1944.23,APPROVED
TRX-021530,2026-08-26,652.20,APPROVED
TRX-018325,2026-08-15,506.93,APPROVED
TRX-008336,2026-09-04,182.22,APPROVED
TRX-041168,2026-08-31,962.22,APPROVED
TRX-013805,2026-08-30,877.43,APPROVED
TRX-023670,2026-08-26,66.69,APPROVED
TRX-002459,2026-08-10,1538.84,APPROVED
TRX-036591,2026-08-20,1640.35,APPROVED
TRX-035656,2026-08-20,620.53,APPROVED
TRX-033476,2026-08-27,198.34,APPROVED
TRX-014650,2026-08-15,1938.14,APPROVED
TRX-028207,2026-08-20,370.80,APPROVED
TRX-044972,2026-08-29,287.84,REFUNDED
TRX-030941,2026-09-03,1198.98,APPROVED
TRX-038162,2026-08-15,628.08,APPROVED
TRX-008318,2026-08-25,970.35,APPROVED
TRX-017824,2026-08-30,195.05,APPROVED
TRX-012003,2026-09-01,56.09,APPROVED
TRX-000429,2026-08-25,1496.07,APPROVED
TRX-018959,2026-08-30,699.20,APPROVED
TRX-015235,2026-08-24,1244.70,APPROVED
TRX-029254,2026-08-19,1694.33,APPROVED
TRX-035816,2026-08-18,68.03,APPROVED
TRX-018897,2026-08-11,1790.17,APPROVED
TRX-026081,2026-08-31,966.90,APPROVED
TRX-015167,2026-08-31,1829.15,APPROVED
TRX-003517,2026-08-23,433.16,APPROVED
TRX-016687,2026-08-13,1134.29,APPROVED
TRX-030481,2026-09-06,1613.53,APPROVED
TRX-006254,2026-08-25,848.07,APPROVED
TRX-032277,2026-08-22,944.61,APPROVED
TRX-020442,2026-08-28,651.45,APPROVED
TRX-007764,2026-08-27,21.08,APPROVED
TRX-041003,2026-08-13,745.95,APPROVED
TRX-028715,2026-08-12,944.95,APPROVED
TRX-004007,2026-08-17,961.02,APPROVED
TRX-008891,2026-08-17,1882.00,APPROVED
TRX-000373,2026-08-09,583.55,APPROVED
TRX-023361,2026-08-10,1388.64,APPROVED
TRX-022695,2026-08-17,927.11,APPROVED
TRX-025822,2026-09-06,199.79,APPROVED
TRX-004182,2026-09-05,1101.25,APPROVED
TRX-008053,2026-08-13,353.42,APPROVED
TRX-010929,2026-08-17,1288.06,APPROVED
TRX-045303,2026-09-01,162.72,CANCELLED
TRX-006753,2026-08-20,1981.80,APPROVED
TRX-011077,2026-08-26,259.50,APPROVED
TRX-003131,2026-08-26,761.70,APPROVED
TRX-039434,2026-08-15,703.07,APPROVED
TRX-045510,2026-09-03,879.72,CANCELLED
TRX-009140,2026-08-12,1073.52,APPROVED
TRX-040052,2026-08-19,81.58,APPROVED
TRX-022180,2026-09-06,1170.95,APPROVED
TRX-036271,2026-08-28,1473.88,APPROVED
TRX-005616,2026-08-18,772.87,APPROVED
TRX-014258,2026-08-11,580.25,APPROVED
TRX-037417,2026-08-20,970.47,APPROVED
TRX-000613,2026-08-23,1547.97,APPROVED
TRX-019928,2026-08-28,1636.39,APPROVED
TRX-026644,2026-08-12,52.67,APPROVED
TRX-023846,2026-08-09,1722.00,APPROVED
TRX-026786,2026-08-28,790.66,APPROVED
TRX-017309,2026-09-05,610.02,APPROVED
TRX-035883,2026-09-01,627.90,APPROVED
TRX-013240,2026-08-09,1309.74,APPROVED
TRX-038987,2026-08-23,1442.78,APPROVED
TRX-038636,2026-09-02,1092.42,APPROVED
TRX-030602,2026-08-12,448.17,APPROVED
TRX-009742,2026-09-01,1277.98,APPROVED
TRX-025541,2026-08-28,1373.30,APPROVED
TRX-016533,2026-08-09,1439.57,APPROVED
TRX-014236,2026-08-17,427.32,APPROVED
TRX-036904,2026-08-12,896.76,APPROVED
TRX-032358,2026-08-09,258.76,APPROVED
TRX-021851,2026-08-24,346.11,APPROVED
TRX-029898,2026-09-05,1892.79,APPROVED
TRX-012508,2026-08-30,851.11,APPROVED
TRX-035061,2026-08-22,1380.80,APPROVED
TRX-015863,2026-08-12,704.13,APPROVED
TRX-018996,2026-09-03,1992.79,APPROVED
TRX-024103,2026-08-25,718.28,APPROVED
TRX-033586,2026-08-13,191.96,APPROVED
TRX-020824,2026-08-26,499.73,APPROVED
TRX-044758,2026-09-03,1194.91,DECLINED
TRX-032398,2026-08-21,275.95,APPROVED
TRX-034283,2026-08-10,980.03,APPROVED
TRX-023395,2026-08-21,38.28,APPROVED
TRX-020096,2026-08-11,170.63,APPROVED
TRX-005849,2026-09-03,518.02,APPROVED
TRX-029469,2026-08-08,1575.45,APPROVED
TRX-028733,2026-08-25,194.99,APPROVED
TRX-027165,2026-08-16,1263.31,APPROVED
TRX-007598,2026-08-22,394.84,APPROVED
TRX-023772,2026-08-19,837.48,APPROVED
TRX-017900,2026-09-02,1484.29,APPROVED
TRX-038204,2026-08-27,1683.50,APPROVED
TRX-043051,2026-08-27,815.13,DECLINED
TRX-045377,2026-09-04,804.04,CANCELLED
TRX-015332,2026-09-01,1286.24,APPROVED
TRX-014023,2026-08-21,120.75,APPROVED
TRX-009814,2026-09-01,1153.92,APPROVED
TRX-004711,2026-08-29,214.81,APPROVED
TRX-024492,2026-08-30,1668.33,APPROVED
TRX-024483,2026-08-26,1044.23,APPROVED
TRX-025395,2026-08-18,1576.57,APPROVED
TRX-002281,2026-08-25,1500.90,APPROVED
TRX-027228,2026-08-20,172.37,APPROVED
TRX-037053,2026-08-28,437.59,APPROVED
TRX-009594,2026-08-17,804.72,APPROVED
TRX-036242,2026-09-01,540.67,APPROVED
TRX-024918,2026-08-27,1249.34,APPROVED
TRX-043169,2026-08-19,232.61,CHARGEBACK
TRX-030355,2026-08-23,366.58,APPROVED
TRX-007863,2026-08-12,1631.20,APPROVED
TRX-038525,2026-08-18,49.25,APPROVED
TRX-015962,2026-08-11,259.51,APPROVED
TRX-028234,2026-08-08,1783.11,APPROVED
TRX-007478,2026-08-13,1316.97,APPROVED
TRX-022945,2026-08-26,741.38,APPROVED
TRX-043954,2026-08-17,771.49,DECLINED
TRX-000411,2026-08-26,1624.70,APPROVED
TRX-003219,2026-08-13,1734.22,APPROVED
TRX-021921,2026-08-22,1395.09,APPROVED
TRX-038755,2026-08-14,1226.12,APPROVED
TRX-010968,2026-08-17,1919.37,APPROVED
TRX-000933,2026-09-02,377.71,APPROVED
TRX-035166,2026-08-20,985.84,APPROVED
TRX-005125,2026-08-23,456.92,APPROVED
TRX-018052,2026-08-29,835.53,APPROVED
TRX-016181,2026-08-17,55.74,APPROVED
TRX-036276,2026-08-26,1724.05,APPROVED
TRX-032390,2026-08-09,1381.76,APPROVED
TRX-023498,2026-08-25,616.32,APPROVED
TRX-007995,2026-08-20,1313.66,APPROVED
TRX-044822,2026-09-05,1028.69,REFUNDED
TRX-006138,2026-08-21,241.60,APPROVED
TRX-043907,2026-08-24,104.77,REFUNDED
TRX-014932,2026-08-08,1793.63,APPROVED
TRX-009823,2026-08-17,458.44,APPROVED
TRX-039353,2026-09-03,1354.14,APPROVED
TRX-005541,2026-08-27,1195.60,APPROVED
TRX-005604,2026-08-20,842.18,APPROVED
TRX-031669,2026-08-13,1511.12,APPROVED
TRX-015649,2026-08-24,572.21,APPROVED
TRX-040730,2026-08-15,1548.59,APPROVED
TRX-013727,2026-08-26,540.23,APPROVED
TRX-000673,2026-08-27,1671.88,APPROVED
TRX-001088,2026-08-09,635.82,APPROVED
TRX-039649,2026-08-29,765.41,APPROVED
TRX-015821,2026-09-03,1013.32,APPROVED
TRX-013077,2026-08-12,1605.97,APPROVED
TRX-031152,2026-09-03,291.81,APPROVED
TRX-033491,2026-08-19,498.84,APPROVED
TRX-024468,2026-09-06,1451.28,APPROVED
TRX-034261,2026-08-10,1389.05,APPROVED
TRX-043377,2026-09-02,793.31,REFUNDED
TRX-024495,2026-08-26,1345.78,APPROVED
TRX-044055,2026-08-14,895.12,REFUNDED
TRX-007515,2026-09-02,1093.56,APPROVED
TRX-008868,2026-09-01,721.93,APPROVED
TRX-032248,2026-08-31,374.25,APPROVED
TRX-042719,2026-08-23,927.73,APPROVED
TRX-006109,2026-08-31,808.84,APPROVED
TRX-042987,2026-08-16,781.97,APPROVED
TRX-040152,2026-08-30,717.88,APPROVED
TRX-000132,2026-09-02,745.36,APPROVED
TRX-010544,2026-08-08,1708.13,APPROVED
TRX-029431,2026-09-04,601.71,APPROVED
TRX-030261,2026-08-24,470.30,APPROVED
TRX-021712,2026-08-17,1223.32,APPROVED
TRX-022937,2026-08-26,215.92,APPROVED
TRX-029856,2026-09-04,791.20,APPROVED
TRX-024935,2026-08-16,1922.26,APPROVED
TRX-026401,2026-08-23,102.46,APPROVED
